observation_date,fed_funds_rate,fed_funds_3m_change,cpi_yoy,core_cpi_yoy,inflation_3m_annualized,unemployment_rate,unemployment_3m_change,payroll_trend,ism_manufacturing,ism_services,real_policy_rate,yield_2y,yield_10y,term_spread_2s10s,term_spread_3m10y,high_yield_spread,investment_grade_spread,earnings_revision_breadth,earnings_revision_momentum,financial_conditions_index,equity_breadth,usd_index_change,oil_price_change,regime_label,summary,us_equities_3m,us_equities_12m,long_bonds_3m,long_bonds_12m,credit_3m,credit_12m,gold_3m,commodities_3m,international_equities_3m
1995-06-30,6.00,-0.25,2.9,2.7,2.5,5.6,-0.1,220000,53.1,55.2,3.5,6.7,6.4,-0.3,0.4,3.6,1.0,0.12,0.08,0.1,0.08,-0.02,-0.01,Disinflationary soft landing,Inflation cooled while growth stayed resilient and earnings revisions stabilized.,0.08,0.21,0.04,0.11,0.03,0.09,0.01,-0.02,0.06
2003-09-30,1.00,0.00,2.0,1.7,1.8,6.0,-0.1,65000,54.5,57.0,-0.8,1.8,4.2,2.4,3.0,4.5,1.6,0.18,0.11,-0.2,0.12,-0.03,0.06,Early-cycle reflation,Policy was easy and growth re-accelerated after recession repair.,0.12,0.28,-0.03,-0.01,0.05,0.12,0.02,0.08,0.11
2007-12-31,4.25,-0.50,4.1,2.4,3.6,5.0,0.2,80000,47.8,50.3,0.6,3.1,4.1,1.0,0.5,5.2,1.9,-0.10,-0.05,0.45,-0.06,0.04,0.18,Late-cycle slowdown,Growth slowed while inflation was still uncomfortable and credit was beginning to fray.,-0.04,-0.18,0.05,0.12,-0.03,-0.09,0.07,0.11,-0.06
2008-10-31,1.00,-1.00,3.7,2.5,1.5,6.6,1.2,-350000,38.9,44.0,-2.7,1.7,3.7,2.0,2.8,8.5,2.7,-0.28,-0.18,1.2,-0.22,0.09,-0.35,Credit stress regime,Funding pressure and rapidly widening spreads dominated the macro backdrop.,-0.22,-0.38,0.09,0.22,-0.14,-0.25,0.12,-0.21,-0.24
2009-08-31,0.25,0.00,-1.5,0.9,1.0,9.7,0.4,-150000,52.3,54.1,-0.8,1.1,3.4,2.3,3.1,7.0,2.2,0.22,0.12,0.4,0.16,-0.05,0.19,Early-cycle reflation,Policy support and stabilization in earnings revisions powered a recovery setup.,0.15,0.32,0.02,-0.03,0.08,0.19,0.04,0.12,0.17
2012-06-30,0.25,0.00,1.7,2.1,1.5,8.2,0.1,90000,49.7,52.1,-1.2,0.3,1.6,1.3,1.5,5.8,1.9,-0.08,-0.03,-0.2,0.01,0.03,-0.08,Growth scare under restrictive policy,Growth wobbled even without a hot inflation problem because risk appetite was fragile.,0.03,0.14,0.07,0.15,0.01,0.06,0.05,-0.01,0.02
2016-08-31,0.50,0.00,1.1,2.2,1.4,4.9,-0.1,165000,52.8,54.8,-0.9,0.8,1.6,0.8,1.2,4.8,1.5,0.10,0.07,-0.3,0.11,-0.02,0.09,Disinflationary soft landing,Disinflation and improving revisions created a benign backdrop despite low nominal growth.,0.06,0.18,0.03,0.02,0.02,0.08,0.04,0.07,0.09
2018-12-31,2.40,0.50,2.2,2.3,1.8,3.9,0.0,220000,54.3,57.5,0.6,2.5,2.7,0.2,0.1,4.8,1.5,-0.14,-0.09,0.35,-0.12,0.06,-0.18,Growth scare under restrictive policy,Tightening policy collided with softer global growth and weaker revisions.,-0.08,0.09,0.06,0.14,-0.02,0.03,0.05,-0.05,-0.04
2020-04-30,0.25,-1.50,0.3,1.4,-3.0,14.7,10.0,-20000000,41.5,41.2,-1.1,0.2,0.7,0.5,1.0,7.8,2.4,-0.35,-0.22,1.5,-0.30,-0.01,-0.42,Full recession contraction,The economy moved into an abrupt contraction with severe labor market damage.,0.10,0.26,0.12,0.09,0.03,0.10,0.08,0.15,0.07
2022-09-30,3.25,2.25,8.2,6.6,6.7,3.5,0.0,260000,50.9,56.7,-3.4,4.3,3.8,-0.5,-0.8,5.1,1.6,-0.18,-0.12,0.8,-0.14,0.11,0.13,Stagflation risk regime,Inflation stayed hot even as growth and revisions softened under tighter policy.,-0.06,-0.14,-0.09,-0.22,-0.04,-0.10,0.03,0.05,-0.09
2023-11-30,5.50,1.00,3.1,4.0,2.3,3.9,0.2,180000,49.4,52.7,3.2,4.9,4.3,-0.6,-1.2,4.3,1.4,-0.04,0.01,0.45,0.05,0.06,-0.07,Disinflationary soft landing,Inflation cooled materially while growth slowed but did not break.,0.07,0.19,0.04,0.10,0.02,0.08,0.02,-0.03,0.06
2024-08-31,5.25,0.00,2.9,3.2,2.6,4.1,0.2,145000,50.1,52.4,2.7,4.3,4.1,-0.2,-0.5,4.1,1.3,0.05,0.02,0.3,0.08,0.01,-0.04,Disinflationary soft landing,Restrictive policy remained in place but revisions and activity stabilized.,0.05,0.14,0.03,0.06,0.02,0.05,0.01,-0.01,0.04
2025-11-30,5.50,0.00,3.2,3.4,3.1,4.0,0.1,155000,49.2,51.0,2.4,4.45,4.10,-0.35,-0.65,4.4,1.45,-0.12,-0.06,0.55,-0.04,0.05,0.03,Late-cycle slowdown,Growth softened under still-restrictive policy and revisions turned weaker.,-0.01,0.07,0.04,0.08,0.00,0.03,0.02,0.01,-0.02
