etf_ticker,label_region,label_focus,underlying_ticker,company_name,holding_weight,sector,country_domicile,region,currency,market_cap_bucket,country_code,revenue_north_america,revenue_europe,revenue_asia_pacific,revenue_emerging_markets,revenue_latin_america,revenue_middle_east_africa
ARKK,North America,Disruptive Innovation,TSLA,Tesla Inc.,0.12,Consumer Discretionary,United States,North America,USD,Mega Cap,USA,0.48,0.18,0.16,0.12,0.03,0.03
ARKK,North America,Disruptive Innovation,COIN,Coinbase Global Inc.,0.10,Financials,United States,North America,USD,Large Cap,USA,0.78,0.10,0.05,0.04,0.02,0.01
ARKK,North America,Disruptive Innovation,ROKU,Roku Inc.,0.09,Communication Services,United States,North America,USD,Mid Cap,USA,0.84,0.08,0.03,0.03,0.01,0.01
ARKK,North America,Disruptive Innovation,SQ,Block Inc.,0.09,Financials,United States,North America,USD,Large Cap,USA,0.70,0.12,0.06,0.06,0.03,0.03
ARKK,North America,Disruptive Innovation,SHOP,Shopify Inc.,0.09,Technology,Canada,North America,CAD,Large Cap,CAN,0.56,0.22,0.10,0.06,0.03,0.03
ARKK,North America,Disruptive Innovation,ZM,Zoom Communications Inc.,0.08,Technology,United States,North America,USD,Large Cap,USA,0.62,0.18,0.10,0.06,0.02,0.02
ARKK,North America,Disruptive Innovation,CRSP,CRISPR Therapeutics AG,0.08,Healthcare,Switzerland,Europe,CHF,Mid Cap,CHE,0.46,0.30,0.10,0.08,0.03,0.03
ARKK,North America,Disruptive Innovation,PATH,UiPath Inc.,0.08,Technology,United States,North America,USD,Mid Cap,USA,0.58,0.20,0.10,0.08,0.02,0.02
ARKK,North America,Disruptive Innovation,RBLX,Roblox Corporation,0.08,Communication Services,United States,North America,USD,Mid Cap,USA,0.68,0.14,0.08,0.06,0.02,0.02
ARKK,North America,Disruptive Innovation,U,Unity Software Inc.,0.07,Technology,United States,North America,USD,Mid Cap,USA,0.60,0.18,0.10,0.08,0.02,0.02
ARKK,North America,Disruptive Innovation,EXAS,Exact Sciences Corporation,0.06,Healthcare,United States,North America,USD,Mid Cap,USA,0.88,0.05,0.03,0.02,0.01,0.01
ARKK,North America,Disruptive Innovation,TDOC,Teladoc Health Inc.,0.06,Healthcare,United States,North America,USD,Mid Cap,USA,0.86,0.06,0.03,0.02,0.02,0.01
